List,Title,Description,Labels,Due Date
📌 Équipe & règles,Lire README GitHub + cloner le dépôt,https://github.com/MarwaneZaid/Projet,,2025-10-20
📌 Équipe & règles,Compléter TEAM.md (4 noms contacts binômes),Voir TEAM.md sur GitHub,Livrable,2025-11-15
📌 Équipe & règles,Définir réunion hebdo + canal équipe,,,2025-11-15
📌 Équipe & règles,Règles projet: pas de secrets Git / lab RT isolé,Documenter dans README,Bloquant,2025-11-15
📌 Équipe & règles,Inviter coéquipiers GitHub collaborators,,,2025-11-20
Phase 0 — Cadrage (Oct–Nov),Réunion kickoff — valider périmètre,,,2025-10-31
Phase 0 — Cadrage (Oct–Nov),Valider plan opérationnel,docs/plan-operationnel.md,Livrable,2025-11-15
Phase 0 — Cadrage (Oct–Nov),Remplir specs matériel serveur,docs/architecture/specs-materiel.md,E1-Infra,2025-11-20
Phase 0 — Cadrage (Oct–Nov),Décision Samba AD ou Windows Server,,E2-Réseau,2025-11-25
Phase 0 — Cadrage (Oct–Nov),Plan IP LAN DMZ SOC LAB-RT,docs/architecture/topologie-reseau.md,E1-Infra;E2-Réseau,2025-11-25
Phase 0 — Cadrage (Oct–Nov),Schéma réseau v0 draw.io,,E1-Infra,2025-11-30
Phase 0 — Cadrage (Oct–Nov),Configurer labels et listes Trello,,,2025-11-30
Phase 0 — Cadrage (Oct–Nov),✅ Validation collective Phase 0,CHECKLIST.md phase 0,Livrable,2025-11-30
Phase 1 — Infrastructure (Déc–Jan),Installer Proxmox VE,infra/proxmox/checklist-install.md,E1-Infra,2025-12-15
Phase 1 — Infrastructure (Déc–Jan),Configurer stockage et snapshots,,E1-Infra,2025-12-20
Phase 1 — Infrastructure (Déc–Jan),Créer vmbr0 LAN et vmbr1 DMZ,,E1-Infra,2025-12-22
Phase 1 — Infrastructure (Déc–Jan),Template cloud-init VMs,,E1-Infra,2026-01-05
Phase 1 — Infrastructure (Déc–Jan),VM pfSense installation,infra/pfsense/README.md,E2-Réseau,2026-01-10
Phase 1 — Infrastructure (Déc–Jan),pfSense NAT DHCP réservations,,E2-Réseau,2026-01-12
Phase 1 — Infrastructure (Déc–Jan),pfSense règles firewall LAN DMZ,,E2-Réseau,2026-01-15
